Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
934,"1,2-Bis(chloromethyl)benzene",,"C<sub>8</sub>H<sub>8</sub>Cl<sub>2</sub>","612-12-4",2043675,"175.056","mcl (lig)","55(1)","239.5",,"1.393<sup>25</sup>",,,,"i H<sub>2</sub>O; vs EtOH, eth, chl; s ctc",
935,"1,3-Bis(chloromethyl)benzene",,"C<sub>8</sub>H<sub>8</sub>Cl<sub>2</sub>","626-16-4",2079898,"175.056","cry","34(1)","251.5",,"1.302<sup>20</sup>",,,,"i H<sub>2</sub>O; vs EtOH, eth; sl chl",
936,"1,4-Bis(chloromethyl)benzene",,"C<sub>8</sub>H<sub>8</sub>Cl<sub>2</sub>","623-25-6",774706,"175.056","pl (al)",100,"257(18)","135<sup>16</sup>","1.417<sup>25</sup>",,,,"i H<sub>2</sub>O; vs EtOH, eth, ace, chl; sl HOAc",
937,"Bis(chloromethyl) ether","Chloromethyl ether","C<sub>2</sub>H<sub>4</sub>Cl<sub>2</sub>O","542-88-1",1679223,"114.958","liq","-41.5","104(4)",,"1.323<sup>15</sup>","1.435<sup>21</sup>",,,"msc EtOH, eth",
938,"3,3-Bis(chloromethyl)oxetane",,"C<sub>5</sub>H<sub>8</sub>Cl<sub>2</sub>O","78-71-7",,"155.022","liq","19.0(1)",,"101<sup>27</sup>","1.295<sup>25</sup>",,,,,
939,"2,2-Bis(chloromethyl)-1,3-propanediol","Pentaerythritol dichlorohydrin","C<sub>5</sub>H<sub>10</sub>Cl<sub>2</sub>O<sub>2</sub>","2209-86-1",,"173.037","cry",83,,"159<sup>12</sup>",,,,,,
940,"1,3-Bis(chloromethyl)tetramethyldisiloxane",,"C<sub>6</sub>H<sub>16</sub>Cl<sub>2</sub>OSi<sub>2</sub>","2362-10-9",506631,"231.267","liq","-90","205(3)","92<sup>21</sup>","1.045<sup>20</sup>","1.4398<sup>20</sup>",,,,
941,"Bis(4-chlorophenoxy)methane","Di(4-chlorophenoxy)methane","C<sub>13</sub>H<sub>10</sub>Cl<sub>2</sub>O<sub>2</sub>","555-89-5",1978248,"269.123","cry (peth)","70.5",,"191<sup>6</sup>",,,,,"vs ace, bz",
942,"Bis(4-chlorophenyl) disulfide",,"C<sub>12</sub>H<sub>8</sub>Cl<sub>2</sub>S<sub>2</sub>","1142-19-4",1644663,"287.228",,"72.8",,,,,,,"s chl",
943,"Bis(4-chlorophenyl)ethanedione",,"C<sub>14</sub>H<sub>8</sub>Cl<sub>2</sub>O<sub>2</sub>","3457-46-3",523139,"279.119",,"197.8",,,,,,,,
944,"1,1-Bis(4-chlorophenyl)ethanol",,"C<sub>14</sub>H<sub>12</sub>Cl<sub>2</sub>O","80-06-8",2505345,"267.150",,70,,,,,,,"i H<sub>2</sub>O, EtOH; s eth, bz",
945,"1,2-Bis(2-chlorophenyl)-hydrazine","2,2'-Dichlorohydrazobenzene","C<sub>12</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","782-74-1",,"253.126",,87,,,,,,,,
946,"Bis(4-chlorophenyl)methane",,"C<sub>13</sub>H<sub>10</sub>Cl<sub>2</sub>","101-76-8",1873121,"237.124",,"55.5",,"188<sup>18</sup>","1.365<sup>17</sup>",,,,"s EtOH",
947,"Bis(4-chlorophenyl) sulfone",,"C<sub>12</sub>H<sub>8</sub>Cl<sub>2</sub>O<sub>2</sub>S","80-07-9",2052955,"287.162",,"148.8(10)",,"250<sup>10</sup>",,,,,"sl H<sub>2</sub>O; s EtOH, chl",
948,"<i>N,N'</i>-Bis(4-chlorophenyl)thiourea","Di(<i>p</i>-chlorophenyl)thiourea","C<sub>13</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>S","1220-00-4",,"297.202","nd",176,,,,,,,,
949,"1,1-Bis(4-chlorophenyl)-2,2,2-trichloroethanol",,"C<sub>14</sub>H<sub>9</sub>Cl<sub>5</sub>O","115-32-2",1886299,"370.485","cry (petr)","75.1(3)",,"180<sup>0.1</sup>",,,"0.0013<sup>25</sup>",,"i H<sub>2</sub>O, os",
950,"Bis(3-chloropropyl) ether","3-Chloropropyl ether","C<sub>6</sub>H<sub>12</sub>Cl<sub>2</sub>O","629-36-7",1735686,"171.064",,,"205(7)","90.5<sup>11</sup>","1.136<sup>20</sup>","1.4158<sup>20</sup>",,,"s EtOH, eth",
