	cas	c	h	o	dou	mp	roh	rcooh	rcor	rcoor	aromatic	lcc
37	516-58-5	21	34	2	4.0	195	0	0	0	0	0	21
38	2595-97-3	6	12	6	0.0	128	0	0	0	0	0	6
39	1118-84-9	7	10	3	2.0	-85	0	0	0	0	0	7
40	107-18-6	3	6	1	0.0	-129	0	0	0	0	0	3
41	300-57-2	9	10	0	4.0	-40	0	0	0	0	0	9
42	3524-75-2	8	14	0	1.0	-110.6	0	0	0	0	0	8
43	93-15-2	11	14	2	4.0	-2.0	0	0	0	0	0	11
44	97-53-0	10	12	2	4.0	-7.5	0	0	0	0	0	10
45	93-28-7	12	14	3	5.0	30.5	0	0	0	0	0	12
46	1745-81-9	9	10	1	4.0	-6	0	0	0	0	0	9
47	501-92-8	9	10	1	4.0	15.8	0	0	0	0	0	9
48	1415-73-2	21	22	9	10.0	149.3	0	0	0	0	0	21
49	1990-29-0	6	12	6	0.0	103.5	0	0	0	0	0	6
50	11034-77-8	22	32	3	6.0	35.5	0	0	0	0	0	22
51	24887-75-0	19	32	0	3.0	50	0	0	0	0	0	19
52	438-08-4	20	32	2	4.0	228.5	0	0	0	0	0	20
53	1852-53-5	19	32	2	3.0	223	0	0	0	0	0	19
54	846-46-8	19	28	2	5.0	130	0	0	0	0	0	19
55	1229-12-5	19	28	2	5.0	135	0	0	0	0	0	19
56	63-05-8	19	26	2	6.0	174	0	0	0	0	0	19
57	382-45-6	19	24	3	7.0	222	0	0	0	0	0	19
58	508-44-1	10	8	4	6.0	158	0	0	0	0	0	10
59	104-80-3	6	12	3	0.0	<-50	0	0	0	0	0	6
60	100-66-3	7	8	1	3.0	-37.3	0	0	0	0	0	7
61	116-71-2	34	16	2	26.0	492 dec	0	0	0	0	0	34
62	120-12-7	14	10	0	9.0	216	0	0	0	0	0	14
63	642-31-9	15	10	1	10.0	107	0	0	0	0	0	15
64	607-42-1	15	10	2	10.0	251.5	0	0	0	0	0	15
65	613-08-1	15	10	2	10.0	281	0	0	0	0	0	15
66	723-62-6	15	10	2	10.0	219	0	0	0	0	0	15
67	4981-66-2	14	10	2	9.0	180	0	0	0	0	0	14
68	84-65-1	14	8	2	10.0	284.8	0	0	0	0	0	14
69	1468-95-7	15	12	1	9.0	160.5	0	0	0	0	0	15
70	476-60-8	14	10	4	9.0	148	0	0	0	0	0	14
71	577-33-3	14	10	3	9.0	208	0	0	0	0	0	14
72	1143-38-0	14	10	3	9.0	179	0	0	0	0	0	14
73	610-50-4	14	10	1	9.0	158	0	0	0	0	0	14
74	529-86-2	14	10	1	9.0	152	0	0	0	0	0	14
75	90-44-8	14	10	1	9.0	155	0	0	0	0	0	14
76	520-36-5	15	10	5	10.0	347.5	0	0	0	0	0	15
77	523-80-8	12	14	4	5.0	29.2	0	0	0	0	0	12
78	7643-75-6	5	12	5	-1.0	102.5	0	0	0	0	0	5
79	608-45-7	5	10	5	0.0	155.5	0	0	0	0	0	5
80	14116-69-9	11	20	10	1.0	210 dec	0	0	0	0	0	11
81	20235-19-2	5	10	5	0.0	164.5	0	0	0	0	0	5
82	31178-68-4	5	10	5	0.0	156	0	0	0	0	0	5
83	31178-69-5	5	10	5	0.0	156	0	0	0	0	0	5
84	481-05-0	15	18	4	6.0	203	0	0	0	0	0	15
85	512-85-6	10	16	2	2.0	3.3	0	0	0	0	0	10
86	50-81-7	6	8	6	2.0	191	0	0	0	0	0	6
87	137-66-6	22	38	7	3.0	112	0	0	0	0	0	22
88	603-45-2	19	14	3	12.0	309 dec	0	0	0	0	0	19
89	71751-41-2	48	72	14	12.0	152	0	0	0	0	0	48
90	275-51-4	10	8	0	6.0	99	0	0	0	0	0	10
91	100-52-7	7	6	1	4.0	-57.12	0	0	0	0	0	7
92	56-55-3	18	12	0	12.0	160	0	0	0	0	0	18
93	2498-66-0	18	10	2	13.0	168	0	0	0	0	0	18
94	82-05-3	17	10	1	12.0	173.0	0	0	0	0	0	17
95	71-43-2	6	6	0	3.0	5.538	0	0	0	0	0	6
96	122-78-1	8	8	1	4.0	33.5	0	0	0	0	0	8
97	103-82-2	8	8	2	4.0	76.7	0	0	0	0	0	8
98	1555-80-2	16	14	3	9.0	73.3	0	0	0	0	0	16
99	1821-12-1	10	12	2	4.0	51	0	0	0	0	0	10
100	93-59-4	7	6	3	4.0	42	0	0	0	0	0	7
101	643-79-8	8	6	2	5.0	55.8	0	0	0	0	0	8
102	626-19-7	8	6	2	5.0	89	0	0	0	0	0	8
103	623-27-8	8	6	2	5.0	117	0	0	0	0	0	8
104	612-14-6	8	10	2	3.0	66	0	0	0	0	0	8
105	626-18-6	8	10	2	3.0	57	0	0	0	0	0	8
106	589-29-7	8	10	2	3.0	117.5	0	0	0	0	0	8
107	635-67-6	10	10	4	5.0	64.5	0	0	0	0	0	10
108	1205-91-0	10	10	4	5.0	123.5	0	0	0	0	0	10
109	136-36-7	13	10	3	8.0	134.5	0	0	0	0	0	13
110	60-12-8	8	10	1	3.0	-19	0	0	0	0	0	8
111	517-60-2	12	6	12	9.0	287 dec	0	0	0	0	0	12
112	2270-20-4	11	14	2	4.0	59	0	0	0	0	0	11
113	104-53-0	9	10	1	4.0	47	0	0	0	0	0	9
114	501-52-0	9	10	2	4.0	48.4	0	0	0	0	0	9
115	122-97-4	9	12	1	3.0	<-18	0	0	0	0	0	9
116	89-05-4	10	6	8	7.0	271	0	0	0	0	0	10
117	569-51-7	9	6	6	6.0	209	0	0	0	0	0	9
118	528-44-9	9	6	6	6.0	219	0	0	0	0	0	9
119	554-95-0	9	6	6	6.0	380	0	0	0	0	0	9
120	2694-54-4	18	18	6	9.0	<-30	0	0	0	0	0	18
121	87-66-1	6	6	3	3.0	125.5	0	0	0	0	0	6
122	533-73-3	6	6	3	3.0	140.5	0	0	0	0	0	6
123	108-73-6	6	6	3	3.0	216	0	0	0	0	0	6
124	613-03-6	12	12	6	6.0	99	0	0	0	0	0	12
125	85-95-0	20	26	2	7.0	164	0	0	0	0	0	20
126	134-81-6	14	10	2	9.0	94.84	0	0	0	0	0	14
127	194-69-4	22	14	0	15.0	125.4	0	0	0	0	0	22
128	196-78-1	22	14	0	15.0	114.5	0	0	0	0	0	22
129	89-32-7	10	2	6	9.0	286	0	0	0	0	0	10
130	120-57-0	8	6	3	5.0	37	0	0	0	0	0	8
131	94-53-1	8	6	4	5.0	229	0	0	0	0	0	8
